作品名称：【栗老师】相见恨晚的大圆脸发型教程  超遮脸看起来能显瘦20斤  抛弃tony老师自己搞定吧
网址：https://www.bilibili.com/video/av26492782
更新时间：07-12
弹幕总量：989
preciseTime    ofTime          comment
43.083         1531212852.0    不瘦也好看啊
43.725         1531286262.0    真的可爱tat
43.824         1531189003.0    哈哈哈哈哈哈哈
44.228         1531199146.0    眼睛好大
44.282         1531387560.0    可爱哈哈哈
44.453         1531224772.0    HAHAHA
44.807         1531280338.0    想着怎么遮还是不如想着怎么瘦脸。
45.22          1531311134.0    就喜欢你的声音
45.318         1531305512.0    哈哈哈哈
45.32          1531153943.0    其实这样也挺好看
45.322         1531333879.0    哈哈哈哈哈哈哈哈
45.704         1531311931.0    哈哈哈
46.093         1531288329.0    好可爱啊
46.18          1531150076.0    同款脸
47.02          1531308317.0    超可爱的！！超喜欢了
47.141         1531306379.0    眼妆太好看了吧
47.146         1531155504.0    一给我里giaogiao
47.189         1531301213.0    眼大三分美
47.438         1531316520.0    一gay我里giaogiao
47.821         1531377321.0    是我了
48.06          1531368324.0    同款脸
48.067         1531198751.0    是我了
48.3           1531235249.0    一给我我里giaogiao啵啵啵
48.4           1531270543.0    同款同款
48.404         1531308234.0    小熊阿
48.777         1531187398.0    求口红色号！
48.896         1531182663.0    好可爱～～～
48.931         1531149973.0    是我
48.94          1531331203.0    惊显giao哥
48.981         1531196650.0    giao家军在哪！
49.427         1531190248.0    是我
49.461         1531190829.0    哈哈哈哈哈哈
49.558         1531183864.0    就是我了
49.583         1531307420.0    购物台的
49.749         1531308324.0    …越听越像小燕子…好可爱好想笑
49.834         1531372176.0    羡慕脸短
50.029         1531300468.0    哈哈哈哈哈哈哈
50.523         1531205270.0    这语气莫名像小燕子
51.136         1531150154.0    我刚剪到一半觉得我完了，得戴帽子了，剪完觉得自己萌萌哒
51.386         1531151450.0    很可爱啊
51.69          1531154461.0    谐星声音hhhhhh
51.939         1531184196.0    同款脸，不，脸型hhhh
52.309         1531201192.0    可爱
52.406         1531190188.0    同款
52.553         1531154411.0    哈哈小燕子似你
52.581         1531233489.0    同款脸型。。。。
52.588         1531196271.0    是我了_(:_」∠)_
52.6           1531296465.0    就凭着同款脸型关注了。
53.139         1531298754.0    giao家军来也
53.319         1531281447.0    giao
53.36          1531158580.0    像桥本环奈
53.376         1531191134.0    声音hh
53.459         1531317726.0    同款………
53.579         1531212863.0    为啥非让人瘦
53.7           1531389795.0    其实感觉up只要瘦了，脸也瘦下来，这脸型就很好看了
54.122         1531191748.0    是我本人了， 没下巴形人，圆圆短短
54.145         1531189642.0    我啊哈哈哈
54.369         1531293152.0    好像王怡人和十元的结合版
54.599         1531329202.0    同款脸型……我眼睛还比较小
54.631         1531372075.0    一给我里giaogiao
54.656         1531296874.0    好可爱(づ｡◕‿◕｡)づ
55.04          1531307124.0    就是我了
55.356         1531307685.0    哈哈😄，这个妹子真的圆脸
55.4           1531159067.0    是我是我
55.499         1531292707.0    是我
56.862         1531282050.0    就是我 
57.16          1531303974.0    ，，有没有又长又窄，下巴又短的，，
57.18          1531301342.0    我本人
57.429         1531305547.0    同觉得像小燕子的语气
57.492         1531249339.0    我额头还窄
57.552         1531373837.0    哈哈哈，好笑
58.082         1531192661.0    开口吓到我，小燕子
58.162         1531151637.0    你别....真的像
58.259         1531371369.0    我也脸又短有方，还没下巴，不过up主美哭啦.̸̸̸̸̸̸̸̸̸̸̸̸̸̨̨̨̨̨̨
58.624         1531199622.0    哈哈哈哈我本人简直了
59.17          1531265133.0    好可爱啊
59.403         1531217707.0    我的脸型更难看。。。
60.075         1531153325.0    卧槽！v神！
60.202         1531209351.0    一样了，但我颧骨还高
60.769         1531188615.0    就是我了！
60.824         1531232240.0    眼睛很好看啊
60.999         1531279156.0    我一个男的进来干嘛
62.329         1531276678.0    一股上海口音
62.398         1531288885.0    圆脸很可爱啊
62.45          1531299616.0    同款脸
62.782         1531201132.0    素我的脸型没错了
62.82          1531363559.0    说的就是我
63.175         1531197781.0    是我了
63.206         1531253744.0    又长又圆怎么办
63.274         1531304911.0    是我没错了
64.0           1531196184.0    但是你眼睛大啊qwq
64.273         1531298812.0    我下巴也短
64.291         1531321414.0    我下巴。。宽
64.339         1531383257.0    没下巴，人中还短
64.788         1531198468.0    口音有点上海人的味道？？
64.92          1531298606.0    我就是脸圆还下巴短
65.44          1531192192.0    同款脸
65.625         1531286262.0    卧槽同款上衣同款脸型！！
66.01          1531298870.0    同款
66.045         1531284737.0    是我本人_(:з」∠)_
66.1           1531197156.0    是我没错了。。。
66.6           1531306392.0    说话的音调好好玩
66.801         1531152938.0    这不就是说我吗
66.895         1531147658.0    我也是啊！
67.638         1531184118.0    好可爱ớ ₃ờ呀
67.699         1531285356.0    眼睛大也显脸小我有个同学是圆脸但是眼睛特别大就不是很明显
68.096         1531327724.0    又长又圆的等等我！
68.227         1531193696.0    可爱
68.676         1531299454.0    同脸型
69.08          1531194336.0    就是我了
69.579         1531187976.0    同款脸
69.661         1531200689.0    有点方
70.528         1531181054.0    我是长的圆脸……
70.555         1531160817.0    啊
71.381         1531151302.0    长脸来看看反面例子，寻找灵感
71.409         1531285715.0    瘦下来就好看了
